epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7042,1.60983,3.67789,1.24287,0.03271,0.92977,0.20828,0.14003,1.02028,3.48778,0.89885,0.000190842,0.000190842,0.000190842
2,62.6387,1.32429,2.02951,1.07317,0.73501,0.15971,0.45398,0.31328,1.03012,2.84035,0.94627,0.000383012,0.000383012,0.000383012
3,93.3104,1.24031,1.49081,1.04754,0.72975,0.52836,0.73941,0.52443,1.0557,1.87048,0.95675,0.000571302,0.000571302,0.000571302
4,123.775,1.2003,1.27926,1.02531,0.84419,0.84675,0.89752,0.65411,0.99265,1.23529,0.93686,0.000570536,0.000570536,0.000570536
5,154.081,1.14112,1.13161,1.01954,0.83971,0.88939,0.94544,0.69054,0.99648,0.91561,0.94039,0.000564715,0.000564715,0.000564715
6,184.739,1.14424,0.97916,1.00711,0.80851,0.90094,0.93647,0.66591,1.06267,0.90162,0.95465,0.000558894,0.000558894,0.000558894
7,215.065,1.07609,0.93177,0.9882,0.96492,0.94413,0.97446,0.74312,0.88869,0.63135,0.91947,0.000553073,0.000553073,0.000553073
8,245.678,1.0628,0.91344,0.99339,0.9275,0.93621,0.96998,0.73503,0.89989,0.73478,0.92,0.000547252,0.000547252,0.000547252
9,276.111,1.05294,0.85151,0.9916,0.96343,0.97611,0.97813,0.75771,0.8702,0.56961,0.91578,0.00054143,0.00054143,0.00054143
10,306.353,1.03023,0.78461,0.97853,0.96779,0.98365,0.98503,0.76178,0.85978,0.58122,0.91316,0.000535609,0.000535609,0.000535609
11,336.946,1.01508,0.77394,0.97512,0.97423,0.96386,0.98446,0.72534,0.99707,0.55717,0.95837,0.000529788,0.000529788,0.000529788
12,367.652,1.02263,0.75194,0.96941,0.9741,0.97883,0.98742,0.77851,0.83162,0.53164,0.90697,0.000523967,0.000523967,0.000523967
13,398.107,1.01885,0.7564,0.96981,0.9776,0.97201,0.98617,0.76292,0.84756,0.57223,0.91739,0.000518146,0.000518146,0.000518146
14,428.521,0.96837,0.72048,0.96451,0.97171,0.97997,0.98679,0.7702,0.86983,0.50877,0.91554,0.000512324,0.000512324,0.000512324
15,459.04,0.99913,0.72251,0.96931,0.96775,0.98539,0.98849,0.77964,0.84336,0.51379,0.90976,0.000506503,0.000506503,0.000506503
16,489.332,0.94546,0.68986,0.96039,0.97542,0.98594,0.98908,0.78016,0.81266,0.49916,0.90169,0.000500682,0.000500682,0.000500682
17,519.926,0.94062,0.67847,0.95599,0.98106,0.98684,0.98728,0.78345,0.84115,0.48057,0.91108,0.000494861,0.000494861,0.000494861
18,550.466,0.96793,0.68473,0.96976,0.96435,0.97963,0.98348,0.76863,0.87125,0.51142,0.91251,0.00048904,0.00048904,0.00048904
19,581.095,0.94331,0.67248,0.95376,0.98501,0.99041,0.98801,0.76351,0.87354,0.50273,0.91269,0.000483218,0.000483218,0.000483218
20,611.572,0.95329,0.64506,0.96239,0.97785,0.98574,0.98578,0.78511,0.80468,0.4781,0.90497,0.000477397,0.000477397,0.000477397
21,642.042,0.91801,0.64051,0.95477,0.97981,0.99043,0.9884,0.78888,0.79837,0.4674,0.89918,0.000471576,0.000471576,0.000471576
22,672.331,0.91823,0.6327,0.95813,0.98168,0.97549,0.98836,0.78356,0.81486,0.47647,0.90133,0.000465755,0.000465755,0.000465755
23,702.735,0.90638,0.61453,0.94332,0.97894,0.97955,0.98948,0.77774,0.87557,0.46917,0.93092,0.000459934,0.000459934,0.000459934
24,733.569,0.93285,0.62116,0.95115,0.98027,0.99183,0.98834,0.77574,0.84754,0.45433,0.90769,0.000454112,0.000454112,0.000454112
25,764.919,0.89881,0.6056,0.95116,0.97851,0.98996,0.98805,0.78859,0.79123,0.44654,0.90482,0.000448291,0.000448291,0.000448291
26,795.789,0.90138,0.59997,0.95422,0.98656,0.98866,0.98745,0.7885,0.80143,0.43363,0.90287,0.00044247,0.00044247,0.00044247
27,826.302,0.89475,0.5935,0.95351,0.98296,0.99133,0.9882,0.77773,0.84424,0.44779,0.9121,0.000436649,0.000436649,0.000436649
28,856.747,0.89408,0.59295,0.94978,0.97939,0.98329,0.98531,0.78404,0.83201,0.4387,0.90736,0.000430828,0.000430828,0.000430828
29,887.31,0.88903,0.58316,0.94978,0.9856,0.9888,0.98978,0.78085,0.83288,0.43476,0.90661,0.000425006,0.000425006,0.000425006
30,917.976,0.8866,0.56891,0.94523,0.98716,0.99245,0.98808,0.79831,0.7803,0.42149,0.89785,0.000419185,0.000419185,0.000419185
31,948.548,0.85568,0.56674,0.9337,0.98688,0.98938,0.98907,0.78759,0.81342,0.42281,0.90239,0.000413364,0.000413364,0.000413364
32,978.817,0.86821,0.56328,0.94364,0.97788,0.99041,0.98856,0.79334,0.8088,0.42431,0.90769,0.000407543,0.000407543,0.000407543
33,1009.05,0.86658,0.56439,0.94566,0.98752,0.99121,0.98819,0.7944,0.79688,0.41578,0.90461,0.000401722,0.000401722,0.000401722
34,1039.57,0.84836,0.54062,0.9288,0.9788,0.98704,0.98785,0.786,0.81872,0.42935,0.91793,0.0003959,0.0003959,0.0003959
35,1069.96,0.88331,0.56373,0.94618,0.98543,0.98852,0.99031,0.79679,0.78947,0.41757,0.89979,0.000390079,0.000390079,0.000390079
36,1100.4,0.84753,0.5424,0.92813,0.98445,0.99301,0.98868,0.79872,0.80422,0.4088,0.90693,0.000384258,0.000384258,0.000384258
37,1119.02,0.8596,0.55156,0.93686,0.98365,0.99213,0.98725,0.78761,0.82929,0.42582,0.91546,0.000378437,0.000378437,0.000378437
38,1129.88,0.86923,0.54761,0.94103,0.98527,0.99081,0.9882,0.79307,0.80453,0.41556,0.9066,0.000372616,0.000372616,0.000372616
