epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.091,4.85196,5.0869,3.82818,0,0,0,0,2.96461,4.51084,3.09515,0.082,0.002,0.002
2,16.1465,3.37113,4.21145,2.88728,0,0,0,0,2.77178,4.22706,2.88957,0.0630188,0.00401882,0.00401882
3,23.4568,3.00447,3.68686,2.58859,4e-05,0.00866,2e-05,1e-05,2.73965,4.19224,2.8385,0.0439545,0.00595448,0.00595448
4,30.6092,2.68377,3.47179,2.39367,4e-05,0.00866,2e-05,1e-05,2.68641,4.1976,2.77391,0.024807,0.00780698,0.00780698
5,37.5507,2.33028,2.86627,2.14758,0.03277,0.38374,0.10229,0.0543,2.23904,3.62006,2.36563,0.009208,0.009208,0.009208
6,44.6877,2.14787,2.56199,1.95206,0.28644,0.36856,0.20331,0.10724,1.77246,2.55266,1.956,0.00901,0.00901,0.00901
7,52.1013,2.00487,2.30726,1.81464,0.33825,0.42658,0.37316,0.15343,1.78368,1.95842,1.82139,0.008812,0.008812,0.008812
8,59.2139,1.89313,2.17759,1.73985,0.31905,0.7774,0.49492,0.31771,1.29845,2.31851,1.51064,0.008614,0.008614,0.008614
9,66.0149,1.74107,1.90842,1.60927,0.33102,0.67375,0.50811,0.30576,1.30795,1.98996,1.45458,0.008416,0.008416,0.008416
10,72.6983,1.6972,1.79887,1.57412,0.43766,0.66019,0.615,0.37834,1.30092,1.41239,1.44292,0.008218,0.008218,0.008218
11,79.4545,1.59772,1.64274,1.50135,0.37023,0.62203,0.47634,0.25565,1.48098,2.11107,1.50856,0.00802,0.00802,0.00802
12,86.0584,1.59485,1.61071,1.50041,0.62338,0.78231,0.76101,0.51213,1.20457,1.12474,1.34879,0.007822,0.007822,0.007822
13,92.6303,1.50788,1.48666,1.45194,0.60948,0.70058,0.75083,0.43027,1.3529,1.13886,1.42919,0.007624,0.007624,0.007624
14,99.4214,1.48485,1.42471,1.39939,0.73651,0.78784,0.81704,0.55481,1.16864,1.092,1.33634,0.007426,0.007426,0.007426
15,106.069,1.43767,1.37517,1.39751,0.80737,0.80008,0.89909,0.56867,1.2752,1.10737,1.376,0.007228,0.007228,0.007228
16,113.829,1.40281,1.29398,1.36646,0.89225,0.76871,0.92106,0.66023,1.04418,0.88318,1.24028,0.00703,0.00703,0.00703
17,122.664,1.36546,1.25319,1.3296,0.75592,0.77341,0.82348,0.54288,1.21498,1.26327,1.3749,0.006832,0.006832,0.006832
18,131.809,1.37878,1.23605,1.33726,0.61538,0.7779,0.73995,0.52525,1.05148,1.04596,1.24985,0.006634,0.006634,0.006634
19,140.447,1.3189,1.15264,1.2998,0.82384,0.90612,0.93597,0.64662,1.12994,0.76769,1.25578,0.006436,0.006436,0.006436
20,147.095,1.33056,1.13266,1.29639,0.88126,0.89237,0.94967,0.67848,1.02869,0.71443,1.21919,0.006238,0.006238,0.006238
21,153.734,1.2946,1.11107,1.265,0.91239,0.85295,0.9129,0.64804,1.03768,0.80232,1.2443,0.00604,0.00604,0.00604
22,160.442,1.28634,1.09091,1.26593,0.81775,0.80044,0.89876,0.66124,1.02625,0.94624,1.20931,0.005842,0.005842,0.005842
23,167.115,1.24676,1.04072,1.26303,0.91708,0.84209,0.94051,0.6377,1.11629,0.83658,1.27332,0.005644,0.005644,0.005644
24,173.786,1.24513,1.01662,1.26392,0.92622,0.88207,0.94922,0.69047,1.0094,0.68622,1.19435,0.005446,0.005446,0.005446
25,180.603,1.23594,1.0159,1.25867,0.93262,0.91812,0.96553,0.72421,0.95135,0.65818,1.17,0.005248,0.005248,0.005248
26,187.442,1.23852,0.97707,1.2396,0.92994,0.9414,0.9693,0.73502,0.92147,0.61058,1.15527,0.00505,0.00505,0.00505
27,195.574,1.20734,0.9696,1.24205,0.93432,0.94214,0.96709,0.72823,0.9288,0.62635,1.15684,0.004852,0.004852,0.004852
28,204.496,1.18858,0.93251,1.21257,0.95635,0.94119,0.97772,0.74402,0.93266,0.59319,1.15927,0.004654,0.004654,0.004654
29,213.166,1.18465,0.91805,1.20668,0.9518,0.92827,0.97939,0.73713,0.96585,0.6176,1.19007,0.004456,0.004456,0.004456
30,221.689,1.19983,0.93057,1.21391,0.95772,0.94567,0.97816,0.7447,0.90636,0.59729,1.14578,0.004258,0.004258,0.004258
31,230.572,1.17628,0.89012,1.2184,0.96209,0.94504,0.9777,0.74221,0.92583,0.58259,1.15622,0.00406,0.00406,0.00406
