epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.334,5.36876,5.29042,4.17236,0,0,0,0,5.37588,5.38287,4.0959,0.0707895,0.00324561,0.00324561
2,543.935,5.33159,5.26943,4.09497,0,0,0,0,5.31764,5.35699,4.04321,0.0407243,0.00651382,0.00651382
3,913.489,5.14441,5.24931,4.01119,0,0,0,0,5.23901,5.35011,3.96877,0.0105932,0.00971602,0.00971602
4,1160,3.87272,4.84099,3.38422,0.00585,0.06414,0.02529,0.01018,3.42109,5.18071,3.30253,0.009703,0.009703,0.009703
5,1472.64,2.83014,3.94229,2.56394,0.00023,0.00321,0.00012,8e-05,4.79342,8.16122,7.68499,0.009604,0.009604,0.009604
6,1757.52,2.37639,3.03402,2.20539,0.05101,0.51978,0.06695,0.02528,2.24606,6.49168,2.4061,0.009505,0.009505,0.009505
7,1963.56,2.17954,2.59208,2.0018,0.37607,0.06832,0.08031,0.04348,1.82231,85.0123,2.19885,0.009406,0.009406,0.009406
8,2161.16,1.96428,2.32119,1.84484,0.16587,0.63905,0.31807,0.16534,1.65928,4.22011,1.83679,0.009307,0.009307,0.009307
9,2357.65,1.83317,2.12905,1.72036,0.3946,0.40655,0.38503,0.22763,1.47157,2.64861,1.63983,0.009208,0.009208,0.009208
10,2554.15,1.75092,1.98385,1.60476,0.25378,0.54252,0.4131,0.203,1.55231,2.07635,1.73085,0.009109,0.009109,0.009109
11,2752.51,1.71948,1.90122,1.59294,0.35524,0.71368,0.54191,0.27075,1.78515,2.76032,1.87658,0.00901,0.00901,0.00901
12,2947.67,1.69075,1.85294,1.58424,0.42138,0.70275,0.54545,0.33035,1.30799,1.96531,1.45257,0.008911,0.008911,0.008911
13,3129.44,1.59527,1.746,1.52524,0.41534,0.68753,0.57808,0.3665,1.23478,1.7977,1.41974,0.008812,0.008812,0.008812
14,3313.75,1.55141,1.63661,1.47133,0.4574,0.7106,0.61703,0.41287,1.23799,1.52344,1.42232,0.008713,0.008713,0.008713
15,3509.58,1.52374,1.5484,1.44646,0.56361,0.64604,0.6939,0.39689,1.35939,1.57093,1.4834,0.008614,0.008614,0.008614
16,3700.19,1.50757,1.44248,1.4076,0.48177,0.7515,0.69763,0.45359,1.20547,1.42887,1.37146,0.008515,0.008515,0.008515
17,3876.4,1.42737,1.36656,1.38193,0.47873,0.77125,0.57654,0.36571,1.2755,2.24307,1.44427,0.008416,0.008416,0.008416
18,4056.64,1.41394,1.30582,1.36954,0.68433,0.87625,0.8391,0.58618,1.09194,1.15287,1.29958,0.008317,0.008317,0.008317
19,4267.42,1.41589,1.28203,1.36047,0.63472,0.71765,0.75343,0.51069,1.20432,1.37925,1.34994,0.008218,0.008218,0.008218
20,4435.22,1.38087,1.19916,1.34563,0.78411,0.81673,0.85285,0.60182,1.08479,1.05882,1.27299,0.008119,0.008119,0.008119
21,4627.9,1.34478,1.16159,1.32756,0.83016,0.81055,0.88743,0.62081,1.05072,1.04742,1.24846,0.00802,0.00802,0.00802
22,4828.81,1.29333,1.11416,1.29204,0.82429,0.79319,0.88116,0.63761,1.04246,0.9796,1.23419,0.007921,0.007921,0.007921
23,5029.06,1.3101,1.08066,1.29106,0.81591,0.87042,0.87872,0.63862,0.99164,0.98207,1.23022,0.007822,0.007822,0.007822
24,5227.52,1.33052,1.07514,1.3097,0.68249,0.77189,0.81798,0.49267,1.32379,1.17458,1.37127,0.007723,0.007723,0.007723
25,5407.71,1.2781,1.0339,1.26514,0.80449,0.8507,0.92052,0.64877,1.07066,0.97553,1.23505,0.007624,0.007624,0.007624
26,5589.99,1.29817,1.02204,1.28118,0.78536,0.88595,0.88956,0.64912,1.02297,0.96573,1.23264,0.007525,0.007525,0.007525
27,5790.04,1.25217,0.99386,1.25486,0.90164,0.90022,0.96146,0.69231,1.04537,0.86114,1.25625,0.007426,0.007426,0.007426
28,5991.49,1.25673,0.97387,1.26269,0.91684,0.90713,0.97252,0.69893,1.04459,0.83522,1.24758,0.007327,0.007327,0.007327
29,6192.32,1.23594,0.94692,1.24547,0.8743,0.909,0.97313,0.69443,1.03488,0.88456,1.2431,0.007228,0.007228,0.007228
30,6392.39,1.2386,0.94162,1.25149,0.92551,0.95714,0.97347,0.68635,1.06583,0.79607,1.26949,0.007129,0.007129,0.007129
31,6595.16,1.21604,0.907,1.23039,0.9145,0.92425,0.96551,0.7213,0.96129,0.8281,1.1845,0.00703,0.00703,0.00703
32,6795.41,1.23209,0.91146,1.22745,0.93045,0.90485,0.95792,0.70749,0.98313,0.84863,1.17207,0.006931,0.006931,0.006931
33,6996.13,1.2211,0.89124,1.2351,0.91407,0.93148,0.96539,0.72004,0.94865,0.77485,1.16301,0.006832,0.006832,0.006832
34,7197.67,1.1867,0.87351,1.20436,0.91779,0.94616,0.97637,0.73759,0.95403,0.75646,1.16534,0.006733,0.006733,0.006733
35,7397.96,1.17739,0.86971,1.20589,0.96244,0.95343,0.97996,0.71887,0.97742,0.73071,1.1813,0.006634,0.006634,0.006634
36,7597.98,1.17173,0.84905,1.22029,0.94569,0.95069,0.97377,0.74562,0.89786,0.70492,1.14029,0.006535,0.006535,0.006535
37,7797.91,1.20434,0.86326,1.23192,0.73403,0.74812,0.85828,0.5572,1.30934,1.58958,1.40902,0.006436,0.006436,0.006436
38,7995.33,1.17087,0.8294,1.19122,0.93414,0.92748,0.97634,0.69802,1.07902,0.84044,1.24532,0.006337,0.006337,0.006337
