epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0685,1.62893,3.70693,1.25701,0.03172,0.91761,0.20647,0.1405,1.01386,3.47719,0.8912,0.000190842,0.000190842,0.000190842
2,31.1681,1.34398,2.0802,1.0775,0.59444,0.31709,0.50275,0.37217,0.97645,2.64552,0.92884,0.000383012,0.000383012,0.000383012
3,38.337,1.25106,1.53817,1.04456,0.62712,0.71994,0.78234,0.51622,1.10932,1.60609,0.96293,0.000571302,0.000571302,0.000571302
4,45.3817,1.1839,1.30974,1.02035,0.79929,0.75202,0.87785,0.6275,1.02285,1.27275,0.95268,0.000570536,0.000570536,0.000570536
5,52.0664,1.19538,1.15973,1.02308,0.94528,0.91106,0.95668,0.6926,0.98652,0.79089,0.93358,0.000564715,0.000564715,0.000564715
6,58.4897,1.13822,1.02467,1.01499,0.89418,0.91716,0.95205,0.72399,0.9304,0.73608,0.94568,0.000558894,0.000558894,0.000558894
7,66.1081,1.11339,0.92654,1.01183,0.92701,0.94905,0.97271,0.73357,0.912,0.71346,0.94225,0.000553073,0.000553073,0.000553073
8,77.4934,1.05589,0.87255,0.97671,0.96832,0.9361,0.9795,0.7694,0.86553,0.6283,0.92314,0.000547252,0.000547252,0.000547252
9,89.6472,1.03654,0.83987,0.9796,0.97642,0.96859,0.9857,0.71391,1.07141,0.64156,0.9755,0.00054143,0.00054143,0.00054143
10,101.259,1.05194,0.80204,0.98676,0.96484,0.96328,0.98047,0.75876,0.8891,0.55636,0.92496,0.000535609,0.000535609,0.000535609
11,110.705,1.05599,0.79342,0.99005,0.97729,0.9861,0.98793,0.75347,0.88825,0.53666,0.91535,0.000529788,0.000529788,0.000529788
12,117.23,1.03373,0.76406,0.97753,0.96408,0.97505,0.98691,0.77592,0.86605,0.57403,0.92409,0.000523967,0.000523967,0.000523967
13,124.222,0.9947,0.74722,0.97267,0.96845,0.98498,0.98497,0.73318,1.00121,0.54523,0.94928,0.000518146,0.000518146,0.000518146
14,130.972,1.00178,0.7378,0.97116,0.97489,0.97916,0.98909,0.77337,0.87268,0.53047,0.92211,0.000512324,0.000512324,0.000512324
15,137.872,0.97484,0.71658,0.97586,0.9644,0.97982,0.98842,0.76949,0.88217,0.52672,0.92247,0.000506503,0.000506503,0.000506503
16,144.683,0.95726,0.70042,0.96524,0.97307,0.9902,0.98562,0.76755,0.87353,0.52968,0.91361,0.000500682,0.000500682,0.000500682
17,151.304,0.94279,0.67794,0.95934,0.97608,0.98596,0.98787,0.74413,0.93514,0.51338,0.92696,0.000494861,0.000494861,0.000494861
18,158.019,0.96088,0.67912,0.95314,0.98395,0.99301,0.98741,0.78351,0.82735,0.47487,0.90718,0.00048904,0.00048904,0.00048904
19,164.947,0.93343,0.65643,0.95141,0.98161,0.98876,0.98795,0.76524,0.8654,0.47985,0.91608,0.000483218,0.000483218,0.000483218
20,171.87,0.90159,0.64136,0.94389,0.98017,0.98791,0.98809,0.77868,0.83067,0.46762,0.90335,0.000477397,0.000477397,0.000477397
21,178.759,0.95607,0.64615,0.95898,0.98242,0.99232,0.9889,0.78514,0.80784,0.48511,0.90218,0.000471576,0.000471576,0.000471576
22,185.504,0.92321,0.63226,0.94785,0.98827,0.98021,0.99024,0.78351,0.81154,0.45512,0.90208,0.000465755,0.000465755,0.000465755
23,192.213,0.92461,0.626,0.95282,0.98372,0.98661,0.98881,0.77381,0.85803,0.45862,0.91454,0.000459934,0.000459934,0.000459934
24,199.111,0.93123,0.6147,0.95803,0.98221,0.98965,0.98876,0.79086,0.82876,0.45141,0.91155,0.000454112,0.000454112,0.000454112
25,205.967,0.92967,0.61942,0.95133,0.98003,0.98912,0.9886,0.78128,0.8232,0.49764,0.89794,0.000448291,0.000448291,0.000448291
26,212.678,0.88732,0.59845,0.93225,0.98159,0.98906,0.98871,0.78607,0.84681,0.46275,0.91028,0.00044247,0.00044247,0.00044247
27,219.382,0.89879,0.58118,0.95009,0.98563,0.99033,0.98984,0.79327,0.80031,0.42469,0.89868,0.000436649,0.000436649,0.000436649
28,226.438,0.88906,0.56817,0.94344,0.98471,0.99136,0.98784,0.79428,0.78788,0.42431,0.9006,0.000430828,0.000430828,0.000430828
29,233.429,0.88681,0.57348,0.94197,0.98125,0.98526,0.9885,0.78121,0.85199,0.43914,0.92279,0.000425006,0.000425006,0.000425006
30,240.239,0.89178,0.57441,0.94382,0.97715,0.98319,0.98728,0.78013,0.8382,0.44813,0.90595,0.000419185,0.000419185,0.000419185
31,246.999,0.9021,0.56608,0.95262,0.9856,0.98964,0.98775,0.79329,0.78859,0.41846,0.90023,0.000413364,0.000413364,0.000413364
32,253.781,0.87296,0.55741,0.93919,0.98309,0.98521,0.98626,0.78486,0.79171,0.43657,0.89419,0.000407543,0.000407543,0.000407543
33,260.652,0.88546,0.56508,0.94472,0.98332,0.98549,0.98655,0.7872,0.80935,0.43319,0.90285,0.000401722,0.000401722,0.000401722
34,267.476,0.87628,0.55136,0.94158,0.98361,0.99287,0.98799,0.78173,0.83367,0.42363,0.90175,0.0003959,0.0003959,0.0003959
35,274.256,0.85855,0.54336,0.9396,0.97927,0.99035,0.98625,0.7842,0.81571,0.40849,0.90353,0.000390079,0.000390079,0.000390079
36,281.089,0.842,0.53814,0.93508,0.98669,0.98849,0.9848,0.77609,0.86714,0.422,0.91378,0.000384258,0.000384258,0.000384258
37,287.932,0.84391,0.53692,0.92871,0.97807,0.98903,0.98543,0.79656,0.79777,0.41082,0.90277,0.000378437,0.000378437,0.000378437
38,294.888,0.85589,0.53621,0.9442,0.97845,0.98993,0.98662,0.78947,0.82096,0.40395,0.90943,0.000372616,0.000372616,0.000372616
39,302.002,0.8427,0.53446,0.93207,0.98292,0.99101,0.98721,0.80136,0.79106,0.40247,0.8985,0.000366794,0.000366794,0.000366794
40,308.896,0.83275,0.52182,0.92724,0.98311,0.9912,0.98663,0.79339,0.82281,0.40885,0.92428,0.000360973,0.000360973,0.000360973
41,315.757,0.84596,0.52299,0.93153,0.98323,0.98977,0.98792,0.78147,0.84828,0.41383,0.91813,0.000355152,0.000355152,0.000355152
42,322.626,0.83662,0.5126,0.92805,0.98723,0.99171,0.98593,0.79934,0.79025,0.38698,0.90291,0.000349331,0.000349331,0.000349331
43,329.439,0.81337,0.50199,0.91978,0.98203,0.99168,0.98836,0.78484,0.83545,0.40152,0.90839,0.00034351,0.00034351,0.00034351
44,336.181,0.8163,0.50605,0.9322,0.98485,0.99185,0.98759,0.79449,0.79772,0.39404,0.90525,0.000337688,0.000337688,0.000337688
45,342.997,0.81033,0.5038,0.92175,0.9831,0.99161,0.9872,0.77209,0.88848,0.41577,0.94326,0.000331867,0.000331867,0.000331867
46,349.837,0.82754,0.50786,0.92977,0.98587,0.98509,0.9858,0.795,0.77672,0.39594,0.90103,0.000326046,0.000326046,0.000326046
47,356.629,0.81331,0.49681,0.92346,0.98475,0.99001,0.98569,0.79721,0.78716,0.38154,0.90366,0.000320225,0.000320225,0.000320225
48,363.647,0.82234,0.50006,0.92295,0.98042,0.99097,0.98402,0.79558,0.78325,0.39754,0.89766,0.000314404,0.000314404,0.000314404
49,370.498,0.81958,0.49448,0.92594,0.98163,0.99024,0.98696,0.79937,0.79204,0.39586,0.89966,0.000308582,0.000308582,0.000308582
50,377.429,0.79887,0.48246,0.91828,0.98188,0.98734,0.98599,0.79857,0.80365,0.39909,0.91216,0.000302761,0.000302761,0.000302761
51,384.415,0.82231,0.49211,0.9225,0.98382,0.99125,0.98857,0.7956,0.82048,0.39778,0.91634,0.00029694,0.00029694,0.00029694
52,391.292,0.80472,0.48232,0.91915,0.98399,0.99223,0.98577,0.7884,0.81218,0.38845,0.91309,0.000291119,0.000291119,0.000291119
53,398.21,0.79268,0.46876,0.91325,0.98072,0.99161,0.98764,0.80353,0.78343,0.38263,0.90142,0.000285298,0.000285298,0.000285298
54,405.216,0.80546,0.47856,0.93157,0.97895,0.99238,0.9891,0.80017,0.77873,0.38095,0.90512,0.000279476,0.000279476,0.000279476
55,412.166,0.78647,0.46855,0.91595,0.97873,0.98788,0.98799,0.7871,0.85352,0.39057,0.92327,0.000273655,0.000273655,0.000273655
56,419.129,0.80406,0.47022,0.9232,0.98434,0.99026,0.98764,0.79768,0.79088,0.37984,0.90569,0.000267834,0.000267834,0.000267834
57,425.96,0.79778,0.47348,0.92458,0.98442,0.99054,0.98691,0.79423,0.81734,0.38356,0.90858,0.000262013,0.000262013,0.000262013
58,432.869,0.79568,0.46451,0.92071,0.98014,0.99209,0.987,0.79936,0.78082,0.38045,0.89987,0.000256192,0.000256192,0.000256192
59,439.88,0.77012,0.44883,0.90683,0.98513,0.9911,0.98645,0.80534,0.78284,0.36756,0.90168,0.00025037,0.00025037,0.00025037
60,446.886,0.772,0.45241,0.91444,0.98551,0.99057,0.98856,0.80414,0.78784,0.3744,0.90733,0.000244549,0.000244549,0.000244549
61,453.914,0.76525,0.44869,0.90351,0.98343,0.99143,0.98836,0.80587,0.78133,0.3676,0.90027,0.000238728,0.000238728,0.000238728
62,460.861,0.76859,0.44966,0.90963,0.98667,0.98026,0.98783,0.80213,0.78286,0.36495,0.90118,0.000232907,0.000232907,0.000232907
63,467.85,0.77768,0.45776,0.91455,0.97459,0.99107,0.98654,0.79647,0.79444,0.3747,0.91608,0.000227086,0.000227086,0.000227086
64,474.821,0.76947,0.45385,0.90628,0.97839,0.9905,0.98603,0.79514,0.81274,0.37475,0.90885,0.000221264,0.000221264,0.000221264
65,481.677,0.75334,0.44146,0.90827,0.9861,0.98864,0.98814,0.79794,0.80783,0.36206,0.91783,0.000215443,0.000215443,0.000215443
66,488.739,0.76162,0.4487,0.90346,0.98212,0.98969,0.98789,0.79866,0.8035,0.36528,0.91214,0.000209622,0.000209622,0.000209622
67,495.682,0.75983,0.449,0.90732,0.97739,0.98915,0.98737,0.79256,0.79821,0.36275,0.90676,0.000203801,0.000203801,0.000203801
68,502.75,0.76904,0.44566,0.90786,0.97685,0.98942,0.98897,0.80106,0.80868,0.36811,0.9113,0.00019798,0.00019798,0.00019798
69,509.701,0.7674,0.44861,0.91163,0.97601,0.99101,0.98809,0.80422,0.77762,0.36187,0.90056,0.000192158,0.000192158,0.000192158
70,516.683,0.74348,0.43455,0.90262,0.98351,0.98911,0.9871,0.79644,0.79133,0.36473,0.90732,0.000186337,0.000186337,0.000186337
71,523.739,0.76461,0.4464,0.91207,0.97912,0.98542,0.98768,0.80345,0.77729,0.35859,0.89873,0.000180516,0.000180516,0.000180516
72,530.681,0.7479,0.43315,0.89687,0.97743,0.99269,0.98839,0.80482,0.78401,0.35414,0.90476,0.000174695,0.000174695,0.000174695
73,537.655,0.74691,0.43309,0.90211,0.9765,0.99111,0.98761,0.80139,0.78065,0.35481,0.90503,0.000168874,0.000168874,0.000168874
74,544.507,0.73508,0.43174,0.90525,0.97051,0.99301,0.98983,0.8062,0.79463,0.3585,0.90766,0.000163052,0.000163052,0.000163052
75,551.568,0.74691,0.43551,0.90531,0.97419,0.99301,0.9875,0.80157,0.77843,0.35492,0.90174,0.000157231,0.000157231,0.000157231
76,558.603,0.73101,0.42082,0.89591,0.98325,0.99198,0.98747,0.80131,0.78664,0.35291,0.90755,0.00015141,0.00015141,0.00015141
77,565.612,0.73881,0.42762,0.90315,0.98402,0.98949,0.98838,0.7916,0.82665,0.35808,0.91478,0.000145589,0.000145589,0.000145589
78,572.598,0.7295,0.42274,0.89843,0.97765,0.99056,0.98788,0.79474,0.80057,0.36046,0.91466,0.000139768,0.000139768,0.000139768
79,579.553,0.71327,0.41573,0.89213,0.97497,0.99129,0.98759,0.80868,0.77633,0.35126,0.90261,0.000133946,0.000133946,0.000133946
80,586.51,0.7414,0.42715,0.90495,0.98055,0.9815,0.98744,0.79905,0.79506,0.36003,0.90764,0.000128125,0.000128125,0.000128125
81,593.517,0.74028,0.42765,0.90145,0.97632,0.99301,0.98783,0.81205,0.77251,0.35262,0.89762,0.000122304,0.000122304,0.000122304
82,600.863,0.73003,0.41938,0.89588,0.98409,0.99264,0.98731,0.80312,0.79154,0.3519,0.90689,0.000116483,0.000116483,0.000116483
83,607.925,0.72537,0.42261,0.89736,0.9831,0.99089,0.98762,0.80907,0.77521,0.34729,0.90097,0.000110662,0.000110662,0.000110662
84,615.035,0.71576,0.41562,0.898,0.97673,0.99301,0.98755,0.80822,0.78784,0.3526,0.90874,0.00010484,0.00010484,0.00010484
85,622.043,0.7067,0.413,0.88996,0.9817,0.99301,0.98873,0.80186,0.78954,0.3507,0.90759,9.90192e-05,9.90192e-05,9.90192e-05
86,628.999,0.71095,0.41309,0.8954,0.97651,0.99301,0.98758,0.80773,0.78358,0.34714,0.9055,9.3198e-05,9.3198e-05,9.3198e-05
87,635.947,0.71664,0.40979,0.8966,0.98403,0.98866,0.98731,0.8015,0.7821,0.34879,0.9041,8.73768e-05,8.73768e-05,8.73768e-05
88,643.132,0.7037,0.40719,0.89086,0.97943,0.99137,0.98697,0.80858,0.76745,0.34715,0.89801,8.15556e-05,8.15556e-05,8.15556e-05
89,650.106,0.70349,0.40537,0.89244,0.9743,0.99301,0.98774,0.80659,0.77218,0.3466,0.90288,7.57344e-05,7.57344e-05,7.57344e-05
90,657.129,0.70026,0.39933,0.89516,0.9809,0.99278,0.9878,0.80221,0.77533,0.3425,0.90097,6.99132e-05,6.99132e-05,6.99132e-05
91,689.352,0.70479,0.38924,0.90584,0.97971,0.99182,0.98723,0.79839,0.80021,0.34819,0.91148,6.4092e-05,6.4092e-05,6.4092e-05
92,696.092,0.68213,0.3793,0.89762,0.98206,0.99186,0.98693,0.80277,0.77295,0.34485,0.9003,5.82708e-05,5.82708e-05,5.82708e-05
93,702.863,0.68554,0.3756,0.9066,0.97692,0.99301,0.9869,0.79855,0.78756,0.35029,0.90625,5.24496e-05,5.24496e-05,5.24496e-05
94,709.715,0.68855,0.37511,0.90479,0.98312,0.99031,0.98741,0.80439,0.77605,0.3451,0.89948,4.66284e-05,4.66284e-05,4.66284e-05
95,716.676,0.6797,0.36849,0.90466,0.98588,0.98992,0.98743,0.80412,0.78777,0.34054,0.90389,4.08072e-05,4.08072e-05,4.08072e-05
96,723.446,0.66842,0.36959,0.89518,0.98399,0.98895,0.98751,0.80568,0.77436,0.34035,0.89992,3.4986e-05,3.4986e-05,3.4986e-05
97,730.189,0.66499,0.3615,0.89689,0.98448,0.98844,0.98729,0.80313,0.77623,0.34049,0.9003,2.91648e-05,2.91648e-05,2.91648e-05
98,736.944,0.66005,0.36249,0.89277,0.98363,0.99014,0.98735,0.80796,0.77629,0.33967,0.90042,2.33436e-05,2.33436e-05,2.33436e-05
99,743.674,0.66221,0.36188,0.89375,0.98026,0.99187,0.98736,0.80645,0.78048,0.34046,0.90182,1.75224e-05,1.75224e-05,1.75224e-05
100,750.383,0.65648,0.36498,0.89229,0.97964,0.99198,0.98752,0.80782,0.78108,0.34054,0.90384,1.17012e-05,1.17012e-05,1.17012e-05
